brand,title,price,mrp,discount_pct,rating,review_count,product_url,asin
American Tourister,DELSEY PARIS,5799.0,18500.0,69.0,3.8,159,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1MjgxODAwMTU3ODg0NTA5OjE3NzQ0ODkyMjU6c3BfYXRmOjIwMDUzNjEzMTI3ODk4OjowOjo&url=%2FDELSEY-PARIS-Polyester-Soft-Sided-Blue-Grey%2Fdp%2FB0B1C2HFN5%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.VjbPBLwrLs9-mcFi-BAL_gbeQFR1bEbAkldQ6LPPXXmlwXt_TJTb740M7SSBO3mL466Tzf3-lDAxCwY5WLWi2bS7ENQSyw3eyU4EBHdWCdiLrkBJMYqMtzMb4DmjASjkEvm1zzMuKRiMwcq8WhvBzon-ICps-XurFkV9CtbA4TJJAozmTJXb6bChwpI62BAy_Gco47fVgwHXjwej93bfdRF7B_y2XrbYkxpNQs7-Arq9U-hSWxNXZXS6t3Ezmd1dSc5JWa3YzEL9bXayapzQFlpfnq-DGWobaMOpu3Zvo3M.sSi78lmKopDb-YQqbyMf4AbjkVscJxSRQj99tXw7mZI%26dib_tag%3Dse%26keywords%3DAmerican%2BTourister%2Bluggage%26qid%3D1774489225%26sr%3D8-1-spons%26aref%3DTx8LtYY2HN%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=Tx8LtYY2HN&sp_cr=ZAZ,B0B1C2HFN5
American Tourister,Safari,2099.0,7800.0,73.0,4.0,27,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1MjgxODAwMTU3ODg0NTA5OjE3NzQ0ODkyMjU6c3BfYXRmOjMwMDc1MTYzMjkxNjMzMjo6MDo6&url=%2FSafari-Polycarbonate-Spinner-Wheeling-Suitcase%2Fdp%2FB097BH9MD5%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.VjbPBLwrLs9-mcFi-BAL_gbeQFR1bEbAkldQ6LPPXXmlwXt_TJTb740M7SSBO3mL466Tzf3-lDAxCwY5WLWi2bS7ENQSyw3eyU4EBHdWCdiLrkBJMYqMtzMb4DmjASjkEvm1zzMuKRiMwcq8WhvBzon-ICps-XurFkV9CtbA4TJJAozmTJXb6bChwpI62BAy_Gco47fVgwHXjwej93bfdRF7B_y2XrbYkxpNQs7-Arq9U-hSWxNXZXS6t3Ezmd1dSc5JWa3YzEL9bXayapzQFlpfnq-DGWobaMOpu3Zvo3M.sSi78lmKopDb-YQqbyMf4AbjkVscJxSRQj99tXw7mZI%26dib_tag%3Dse%26keywords%3DAmerican%2BTourister%2Bluggage%26qid%3D1774489225%26sr%3D8-2-spons%26aref%3D5AD7uBNcIV%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=5AD7uBNcIV&sp_cr=ZAZ,B097BH9MD5
American Tourister,American Tourister,4299.0,9000.0,52.0,4.1,2,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1MjgxODAwMTU3ODg0NTA5OjE3NzQ0ODkyMjU6c3BfYXRmOjMwMDYyMjk0OTQwMTgzMjo6MDo6&url=%2FAmerican-Tourister-Liftoff-Compartment-Polypropylene%2Fdp%2FB0FGNDM616%2Fref%3Dsr_1_3_sspa%3Fdib%3DeyJ2IjoiMSJ9.VjbPBLwrLs9-mcFi-BAL_gbeQFR1bEbAkldQ6LPPXXmlwXt_TJTb740M7SSBO3mL466Tzf3-lDAxCwY5WLWi2bS7ENQSyw3eyU4EBHdWCdiLrkBJMYqMtzMb4DmjASjkEvm1zzMuKRiMwcq8WhvBzon-ICps-XurFkV9CtbA4TJJAozmTJXb6bChwpI62BAy_Gco47fVgwHXjwej93bfdRF7B_y2XrbYkxpNQs7-Arq9U-hSWxNXZXS6t3Ezmd1dSc5JWa3YzEL9bXayapzQFlpfnq-DGWobaMOpu3Zvo3M.sSi78lmKopDb-YQqbyMf4AbjkVscJxSRQj99tXw7mZI%26dib_tag%3Dse%26keywords%3DAmerican%2BTourister%2Bluggage%26qid%3D1774489225%26sr%3D8-3-spons%26aref%3DI18nxYZs0J%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=I18nxYZs0J&sp_cr=ZAZ,B0FGNDM616
American Tourister,Urban Jungle,6895.0,9465.0,27.0,4.3,399,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1MjgxODAwMTU3ODg0NTA5OjE3NzQ0ODkyMjU6c3BfYXRmOjMwMDc5MDEzODIwNDUzMjo6MDo6&url=%2FUrban-Jungle-Hardside-Polycarbonate-Travelling%2Fdp%2FB0D798B8JX%2Fref%3Dsr_1_4_sspa%3Fdib%3DeyJ2IjoiMSJ9.VjbPBLwrLs9-mcFi-BAL_gbeQFR1bEbAkldQ6LPPXXmlwXt_TJTb740M7SSBO3mL466Tzf3-lDAxCwY5WLWi2bS7ENQSyw3eyU4EBHdWCdiLrkBJMYqMtzMb4DmjASjkEvm1zzMuKRiMwcq8WhvBzon-ICps-XurFkV9CtbA4TJJAozmTJXb6bChwpI62BAy_Gco47fVgwHXjwej93bfdRF7B_y2XrbYkxpNQs7-Arq9U-hSWxNXZXS6t3Ezmd1dSc5JWa3YzEL9bXayapzQFlpfnq-DGWobaMOpu3Zvo3M.sSi78lmKopDb-YQqbyMf4AbjkVscJxSRQj99tXw7mZI%26dib_tag%3Dse%26keywords%3DAmerican%2BTourister%2Bluggage%26qid%3D1774489225%26sr%3D8-4-spons%26aref%3DMDEMvQElyV%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=MDEMvQElyV&sp_cr=ZAZ,B0D798B8JX
American Tourister,American Tourister,2549.0,7900.0,68.0,4.2,19,https://www.amazon.in/American-Tourister-Polypropylene-Hardside-Recessed/dp/B0FHL163GQ/ref=sr_1_5?dib=eyJ2IjoiMSJ9.VjbPBLwrLs9-mcFi-BAL_gbeQFR1bEbAkldQ6LPPXXmlwXt_TJTb740M7SSBO3mL466Tzf3-lDAxCwY5WLWi2bS7ENQSyw3eyU4EBHdWCdiLrkBJMYqMtzMb4DmjASjkEvm1zzMuKRiMwcq8WhvBzon-ICps-XurFkV9CtbA4TJJAozmTJXb6bChwpI62BAy_Gco47fVgwHXjwej93bfdRF7B_y2XrbYkxpNQs7-Arq9U-hSWxNXZXS6t3Ezmd1dSc5JWa3YzEL9bXayapzQFlpfnq-DGWobaMOpu3Zvo3M.sSi78lmKopDb-YQqbyMf4AbjkVscJxSRQj99tXw7mZI&dib_tag=se&keywords=American+Tourister+luggage&qid=1774489225&sr=8-5,B0FHL163GQ
American Tourister,American Tourister,2549.0,8490.0,70.0,4.3,570,https://www.amazon.in/AMERICAN-TOURISTER-AMT-68cm-Polypropylene/dp/B09RPLYFXJ/ref=sr_1_6?dib=eyJ2IjoiMSJ9.VjbPBLwrLs9-mcFi-BAL_gbeQFR1bEbAkldQ6LPPXXmlwXt_TJTb740M7SSBO3mL466Tzf3-lDAxCwY5WLWi2bS7ENQSyw3eyU4EBHdWCdiLrkBJMYqMtzMb4DmjASjkEvm1zzMuKRiMwcq8WhvBzon-ICps-XurFkV9CtbA4TJJAozmTJXb6bChwpI62BAy_Gco47fVgwHXjwej93bfdRF7B_y2XrbYkxpNQs7-Arq9U-hSWxNXZXS6t3Ezmd1dSc5JWa3YzEL9bXayapzQFlpfnq-DGWobaMOpu3Zvo3M.sSi78lmKopDb-YQqbyMf4AbjkVscJxSRQj99tXw7mZI&dib_tag=se&keywords=American+Tourister+luggage&qid=1774489225&sr=8-6,B09RPLYFXJ
American Tourister,American Tourister,3099.0,7500.0,59.0,4.1,2,https://www.amazon.in/American-Tourister-Liftoff-Suitcase-Trolley/dp/B0F5HGLC5Q/ref=sr_1_7?dib=eyJ2IjoiMSJ9.VjbPBLwrLs9-mcFi-BAL_gbeQFR1bEbAkldQ6LPPXXmlwXt_TJTb740M7SSBO3mL466Tzf3-lDAxCwY5WLWi2bS7ENQSyw3eyU4EBHdWCdiLrkBJMYqMtzMb4DmjASjkEvm1zzMuKRiMwcq8WhvBzon-ICps-XurFkV9CtbA4TJJAozmTJXb6bChwpI62BAy_Gco47fVgwHXjwej93bfdRF7B_y2XrbYkxpNQs7-Arq9U-hSWxNXZXS6t3Ezmd1dSc5JWa3YzEL9bXayapzQFlpfnq-DGWobaMOpu3Zvo3M.sSi78lmKopDb-YQqbyMf4AbjkVscJxSRQj99tXw7mZI&dib_tag=se&keywords=American+Tourister+luggage&qid=1774489225&sr=8-7,B0F5HGLC5Q
American Tourister,Safari,7499.0,29100.0,74.0,4.0,27,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0OTYzODExMzA1MDAwNjM6MTc3NDQ4OTIyNTpzcF9zZWFyY2hfdGhlbWF0aWM6MzAwNzUxNjMyOTE2ODMyOjowOjo&url=%2FSafari-Polycarbonate-Hardside-Suitcase-CODE-PLUS-73-Purple-4WH%2Fdp%2FB00SWV4NCU%2Fref%3Dsxin_14_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.76a1f397-3be8-48c6-95f3-640bcc2e7bf1%253Aamzn1.sym.76a1f397-3be8-48c6-95f3-640bcc2e7bf1%26cv_ct_cx%3DAmerican%2BTourister%2Bluggage%26keywords%3DAmerican%2BTourister%2Bluggage%26pd_rd_i%3DB00SWV4NCU%26pd_rd_r%3D6fbf8f22-5333-4464-88d4-888a3b08d69a%26pd_rd_w%3DNbvD8%26pd_rd_wg%3DcyC5K%26pf_rd_p%3D76a1f397-3be8-48c6-95f3-640bcc2e7bf1%26pf_rd_r%3DFM4ZZ3A15DS0S5AG1NKN%26qid%3D1774489225%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-1-ced4eeeb-b190-41d6-902a-1ecb3fb8b7c4-spons%26aref%3DvrDAWdMOB0%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1&aref=vrDAWdMOB0&sp_cr=ZAZ,B00SWV4NCU
American Tourister,uppercase,4500.0,6000.0,25.0,4.3,846,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0OTYzODExMzA1MDAwNjM6MTc3NDQ4OTIyNTpzcF9zZWFyY2hfdGhlbWF0aWM6MzAwOTgwOTI3NzU4NTMyOjoxOjo&url=%2Fuppercase-Hardsided-Anti-Scratch-Anti-Theft-Suitcase%2Fdp%2FB0DCVZSTLB%2Fref%3Dsxin_14_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.76a1f397-3be8-48c6-95f3-640bcc2e7bf1%253Aamzn1.sym.76a1f397-3be8-48c6-95f3-640bcc2e7bf1%26cv_ct_cx%3DAmerican%2BTourister%2Bluggage%26keywords%3DAmerican%2BTourister%2Bluggage%26pd_rd_i%3DB0DCVZSTLB%26pd_rd_r%3D6fbf8f22-5333-4464-88d4-888a3b08d69a%26pd_rd_w%3DNbvD8%26pd_rd_wg%3DcyC5K%26pf_rd_p%3D76a1f397-3be8-48c6-95f3-640bcc2e7bf1%26pf_rd_r%3DFM4ZZ3A15DS0S5AG1NKN%26qid%3D1774489225%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-2-ced4eeeb-b190-41d6-902a-1ecb3fb8b7c4-spons%26aref%3DrBwUxvnUaY%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1&aref=rBwUxvnUaY&sp_cr=ZAZ,B0DCVZSTLB
American Tourister,Safari,3599.0,15999.0,78.0,4.0,15,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0OTYzODExMzA1MDAwNjM6MTc3NDQ4OTIyNTpzcF9zZWFyY2hfdGhlbWF0aWM6MzAwNTI1NTAzODE5MzMyOjoyOjo&url=%2FSafari-Polycarbonate-Organized-Interior-Suitcase%2Fdp%2FB097B4JTKH%2Fref%3Dsxin_14_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.76a1f397-3be8-48c6-95f3-640bcc2e7bf1%253Aamzn1.sym.76a1f397-3be8-48c6-95f3-640bcc2e7bf1%26cv_ct_cx%3DAmerican%2BTourister%2Bluggage%26keywords%3DAmerican%2BTourister%2Bluggage%26pd_rd_i%3DB097B4JTKH%26pd_rd_r%3D6fbf8f22-5333-4464-88d4-888a3b08d69a%26pd_rd_w%3DNbvD8%26pd_rd_wg%3DcyC5K%26pf_rd_p%3D76a1f397-3be8-48c6-95f3-640bcc2e7bf1%26pf_rd_r%3DFM4ZZ3A15DS0S5AG1NKN%26qid%3D1774489225%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-3-ced4eeeb-b190-41d6-902a-1ecb3fb8b7c4-spons%26aref%3Dbc21KKV8Zo%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1&aref=bc21KKV8Zo&sp_cr=ZAZ,B097B4JTKH
